lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
alto;alto;alto;5845;alto;alto;alto;medio;A2;2;2;Hombre;medio
medio;medio;medio;5846;medio;alto;alto;medio;A-;1;1;Hombre;medio
medio;alto;alto;5847;medio;alto;medio;alto;A-;5;2;Mujer;medio
medio;medio;alto;5848;alto;medio;medio;medio;A2;5;2;Mujer;medio
alto;alto;medio;5849;medio;alto;medio;alto;A1;5;4;Mujer;medio
alto;medio;alto;5850;medio;medio;alto;medio;A1;5;3;Hombre;medio
alto;alto;alto;5851;alto;alto;alto;alto;B+;5;3;Hombre;medio
medio;medio;medio;5852;medio;medio;medio;medio;A1;2;2;Hombre;medio
alto;alto;medio;5853;alto;alto;alto;alto;A1;2;2;Mujer;medio
medio;alto;alto;5854;medio;medio;alto;medio;A-;2;2;Mujer;medio
alto;superior;alto;5855;medio;alto;alto;alto;A1;2;2;Hombre;medio
alto;medio;alto;5856;alto;alto;alto;medio;A1;5;3;Mujer;medio
medio;bajo;medio;5857;medio;medio;alto;medio;A-;1;1;Hombre;medio
alto;alto;alto;5858;medio;alto;medio;alto;A-;3;3;Mujer;medio
alto;alto;medio;5859;medio;alto;alto;alto;A1;3;3;Hombre;medio
alto;alto;alto;5860;medio;alto;alto;alto;A1;1;1;Hombre;medio
alto;alto;alto;5861;medio;alto;medio;medio;A1;5;3;Mujer;medio
medio;alto;medio;5862;alto;alto;alto;alto;A2;5;2;Hombre;medio
medio;medio;alto;5863;medio;alto;medio;medio;A1;1;1;Mujer;medio
alto;alto;alto;5864;alto;alto;alto;alto;A2;5;3;Hombre;medio
alto;medio;medio;5865;alto;alto;alto;alto;A2;5;3;Mujer;medio
alto;alto;alto;5866;alto;alto;medio;medio;A2;2;2;Hombre;medio
alto;alto;alto;5867;alto;alto;medio;medio;A2;5;4;Hombre;medio
medio;medio;alto;5868;medio;medio;alto;medio;A2;1;1;Hombre;medio
alto;superior;alto;5869;superior;superior;alto;alto;B1;5;3;Hombre;medio
alto;alto;alto;5870;alto;alto;alto;alto;A1;5;3;Hombre;medio
alto;alto;alto;5871;alto;alto;alto;alto;A2;1;1;Hombre;medio
medio;alto;medio;5872;medio;medio;medio;medio;A2;5;3;Hombre;medio
medio;alto;alto;5873;alto;alto;alto;alto;A1;5;2;Mujer;medio
medio;alto;alto;5874;medio;medio;medio;alto;A1;1;2;Mujer;medio
medio;alto;alto;5875;medio;alto;medio;alto;A1;5;4;Hombre;medio
alto;alto;alto;5876;medio;alto;medio;alto;A2;5;3;Hombre;medio
alto;alto;alto;5877;alto;alto;alto;alto;A2;2;2;Hombre;medio
alto;alto;alto;5878;alto;alto;alto;alto;A2;5;5;Mujer;medio
alto;medio;alto;5879;medio;medio;medio;alto;A-;5;2;Hombre;medio
alto;alto;alto;5880;medio;alto;alto;alto;A2;1;2;Hombre;medio
medio;alto;alto;5881;medio;alto;alto;medio;A-;3;3;Mujer;medio
medio;medio;medio;5882;medio;medio;medio;medio;A1;1;3;Hombre;medio
alto;alto;medio;5883;medio;alto;alto;medio;A1;5;3;Hombre;medio
medio;medio;medio;5884;medio;medio;medio;medio;A1;5;2;Mujer;medio
